"","X","Unnamed..0","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","ThymicDerivedTregsCT","NaiveDerivedTregsCT","NoTregCD4CT","ActivatedCD4CT","NaiveCT","hours"
"22",26,27,NA,43,64,"JA032218D14WTS_1","43_64_JA032218D14WTS_1.fcs compensated","JA","3/22/2018","Spleen",8196,1,9912,"3/8/2018","M",14,"WT",12.1,0.08,49.8,501010,373582,363740,348453,336773,18492,9890,340,299316,16732,9536,157180,36399,1576,29,547,99,4298,2791,116495,960,22,66,317,14,0.466723876320251,0.0549093900045431,0.0293669623158626,0.00100958212208223,0.00162423947287936,0.0941907721730815,0.00304110738255034,0.108081704887268,0.256873057614153,0.292680369127517,0.741156635704288,0.609137055837564,0.758620689655172,23.2428490407485,2.73448762222625,1.46247472332996,0.0502771896796952,0.080887125749392,257563.500635224,0.00444754267791199,5.38246890338596,0.70241619652931,0.428037641863875,17.2265917992238,0.156891472468157,0.00337399789358841,4970.26589472946,95701.7622723377,2.47692412159102,150596.986592734,2326327.13499829,336
"24",28,29,NA,45,68,"JA032218D14WTS_3","45_68_JA032218D14WTS_3.fcs compensated","JA","3/22/2018","Spleen",8196,1,9910,"3/8/2018","M",14,"WT",11.4,0.089,45.2,565865,426729,419785,401454,389847,18510,9943,574,353078,17092,9509,194583,35661,1504,25,560,95,3605,2161,140951,852,22,50,245,14,0.499126580427706,0.047480165295616,0.0255048775545278,0.00147237249485054,0.0014364609705859,0.0879943833372338,0.00262908823220107,0.0914743476286851,0.210917388251814,0.227258386791461,0.724374688436297,0.566489361702128,0.88,22.5605214353323,2.14610347136184,1.15282046546466,0.0665512367672446,0.0649280358704825,188845.051540382,0.00303086671959369,4.13464051281657,0.452650539097791,0.261988119241679,16.3422706856793,0.106978712707716,0.00266716271324245,5729.37844130637,76136.9603913593,1.95725841982146,119001.311925145,1838257.10789632,336
"26",30,31,NA,57,72,"GM032718D20WTS","57_72_GM032718D20wts.fcs compensated","GM","3/27/2018","Spleen",8368,1,9914,"3/7/2018","M",18,"WT",12.9,0.102,28.2,562118,434681,431050,427054,420510,37402,14912,872,364598,36355,14615,319847,51602,4543,42,57,260,11427,5656,254914,2615,10,155,21,18,0.760616869991201,0.0889443770659437,0.0354617012675085,0.00207367244536396,0.000135549689662553,0.124962178517398,0.00287375983578515,0.122712896245036,0.314317150323202,0.386999657885734,0.796987309557382,0.575610829848118,0.238095238095238,21.4493957337519,2.50823143325961,1.00001997574374,0.0584775629592637,0.00382250124848398,313434.064125937,0.0028738172412752,3.46050367411001,0.788380156453242,0.387007388491727,17.0948961974745,0.180416041754199,0.000684242200303619,10400.1348527893,122617.887518949,2.19479736913368,92708.2408722066,2102089.12826147,432
"28",32,33,NA,35,76,"JA033018D12WTS","35_76_JA033018D12WTS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9948,"3/18/2018","M",12,"WT",10.9,0.095,31.64,757389,594789,586895,567243,548188,21392,10114,1406,513707,21075,9732,267688,36969,2151,11,172,160,5464,3019,187514,1116,5,100,87,12,0.488314227965588,0.0390231088604639,0.0184498748604493,0.00256481353112436,0.000313760972513079,0.102064056939502,0.00113029182079737,0.0674385429816049,0.25926453143535,0.310213727907933,0.700494605660321,0.518828451882845,0.454545454545455,15.4502621728312,1.23469116434508,0.583754040584617,0.0811507001247747,0.00992739717031383,126017.589300416,0.000659812417430208,2.13375549993798,0.320111626191294,0.181088517111073,10.822825308106,0.065381510766743,0.000299914735195549,3026.40963610533,57609.6688975676,1.10867357504466,47672.9637269204,1061000.61131774,288
"30",34,35,NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018","",7,"WT",4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,0.286314350721328,0.052870310950353,0.0189124655170977,0.00395042796302933,0.000304199621625676,0.130595499228207,0.000856478649210816,0.0774938118296149,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.0347637660746581,0.00267695667030595,60760.6969456246,0.000142543481690104,0.681945544100611,0.11836523949314,0.0494218614374117,1.12445014876612,0.0341507245352235,4.07267090543153e-05,1392.48842713639,25217.4839832647,0.404498039417481,21026.3582062543,383471.681211227,168
"32",36,37,NA,19,84,"JA042618D7WTS_3","19_84_JA042618D7WTS_3.fcs compensated","JA","4/26/2018","Spleen",8813,1,10022,"4/19/2018","",7,"WT",4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,0.24808110338578,0.0305836789954313,0.0116563192785057,0.00565825031150043,0.000180697221577945,0.112353372434018,0.00586510263929619,0.0510051620071955,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.00209608777030416,39859.6819282832,0.000793039903992174,0.591659879283468,0.10374571373014,0.0459242198948195,1.38832965645952,0.0219780954188576,0.000756992635628893,813.793587406116,17067.7929220195,0.31491099441872,16369.5017688375,298541.492649883,168
"34",38,39,NA,9,88,"GM042718D4WTS","9_88_GM042718D4WTS.fcs compensated","GM","4/27/2018","Spleen",1307,0,2,"4/23/2018","",4,"WT",2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,0.320163163907653,0.0201999677965972,0.00930064943529033,0.0981935424509857,0.0274725696015212,0.0235177865612648,0.0019020446980504,0.0374287883086313,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,5463.17310862514,0.000203437885888424,0.43043106554926,0.167062915481403,0.0905807186918207,2.89168730495856,0.00229545088597695,5.08594714721059e-05,123.318648440279,3044.40357420791,0.226836456552242,21602.3918789918,205234.06467325,96
"36",40,41,NA,23,92,"AD050318D9WTS_1","23_92_AD050318D9WTS_1.fcs compensated","AD","5/3/2018","Spleen",1293,1,10037,"","",9,"WT",6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,0.192256297187145,0.0243591456760428,0.0115114362709071,0.000991069241219572,0.00889735195207234,0.112266355140187,0.00102485267742762,0.0370119819157703,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.0834579129640765,0.0071852519988419,0.0645058016525244,19826.6656204918,8.55320655537551e-05,0.268336868889334,0.0651536004469438,0.0344266563853864,0.999577542816418,0.013348441890175,2.13830163884388e-05,420.399167124258,6057.82456319251,0.156777140530819,6847.95651644434,149929.184014375,216
"38",42,43,NA,25,96,"AD050318D9WTS_3","25_96_AD050318D9WTS_3.fcs compensated","AD","5/3/2018","Spleen",1293,1,10036,"","",9,"WT",5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,0.166814027971855,0.0212633088899056,0.0109686274994744,0.00511951723199822,0.0162643599985161,0.11541889483066,0.000902798675895275,0.0397164479948557,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.0468435826727837,0.148818893986422,22455.81665452,9.06075308036634e-05,0.36340549915293,0.0743325102129028,0.0452433603812959,1.06546520830499,0.0142480278129709,3.02025102678878e-05,560.721131458082,7647.06771009106,0.172103459688117,7517.40339365469,164586.056294462,216
"40",44,45,NA,27,100,"AD051018D9WTS_T5","27_100_AD051018D9WTS_T5.fcs compensated","AD","5/10/2018","Spleen",1328,0,5,"","",9,"WT",4.7,0.027,12.5,325553,240283,236301,233332,230924,4100,2483,569,222715,3961,2276,48802,7630,540,1,334,537,1080,450,28499,261,1,255,21,9,0.211333598932982,0.0177547591415357,0.0107524553532764,0.00246401413452045,0.00144636330567633,0.136329209795506,0.000439367311072056,0.0330411737194921,0.272658419591012,0.197715289982425,0.583971968361952,0.483333333333333,1,2.64166998666228,0.221934489269197,0.134405691915955,0.0308001766815056,0.0180795413209541,30256.1535484388,5.90534674498924e-05,0.413014671493652,0.0605123070968777,0.0265740603524516,1.54266122187386,0.0146238075484121,5.90534674498924e-05,606.921356469427,15025.4246435573,0.191678335720758,8372.42536581499,183305.910354943,216
"42",46,47,NA,29,104,"AD051018D9WTS_T1","29_104_AD051018D9WTS_T1.fcs compensated","AD","5/10/2018","Spleen",1328,0,1,"","",9,"WT",6.7,0.059,10.6,594739,446760,443291,437930,433603,12770,5420,621,412819,12589,5179,159048,21431,1178,2,814,521,2393,1365,100448,325,1,211,99,9,0.366805580219694,0.0294509032455956,0.0124999135153585,0.00143218566292207,0.00187729328440993,0.0935737548653586,0.000386174937246573,0.0494253960420016,0.1900865835253,0.263564394670786,0.631557768723907,0.275891341256367,0.5,3.88813915032876,0.312179574403314,0.1324990832628,0.015181168026974,0.0198993088147453,29211.8149691877,5.11678251642403e-05,0.523909198045216,0.059341148744708,0.034922040674594,2.4555844862697,0.00805928681238199,2.55839125821202e-05,1092.32780607236,20060.2003507333,0.282967759434126,12359.9072262685,270607.852207858,216
"44",48,49,NA,11,108,"AD052218D4WTS_T2","11_108_AD052218D4WTS_T2.fcs compensated","AD","5/22/2018","Spleen",1372,0,2,"","",4,"WT",2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,0.398560710457817,0.0170571122339611,0.00677866001706149,0.000516219349476125,0.000568716232473697,0.0291352138789564,0,0.0335826935275718,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.0818741387230133,0.0325375680818951,0.0024778528774854,0.00272983791587375,2385.42054285034,0,0.161196928932345,0.0434580251624735,0.0223944116818742,1.32230198831944,0.00100838232038674,NA,51.2453444336004,1325.79287803001,0.079488718180163,7569.97559469086,71918.7425854721,96
"46",50,51,NA,13,112,"AD052218D4WTS_T3","13_112_AD052218D4WTS_T3.fcs compensated","AD","5/22/2018","Spleen",1372,0,3,"","",4,"WT",2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,0.280087941743034,0.0108684395075026,0.00427428828439626,0.000393548177102598,0.000936526301150167,0.0178362573099415,0,0.0272554305209927,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.0232948711499596,0.00214483756520916,0.00510406834126841,1056.49494569276,0,0.14854209633941,0.0294606213544816,0.0162691650981913,0.954565602705718,0.000510927883572727,NA,24.7203839482968,520.846678171734,0.0581765003701962,5540.34205192169,52636.1583182745,96
"48",52,53,NA,1,116,"KV053118D0WTS_T2","1_116_KV053118D0WTS_T2.fcs compensated","KV","5/31/2018","Spleen",NA,0,2,"5/31/2018","",0,"WT",1.314,0.003,1.325,49588,25564,24886,24178,23558,345,47,454,22591,200,7,3232,170,186,0,115,425,197,6,2881,186,0,391,94,0,0.137193310128194,0.0146447066813821,0.00199507598268104,0.0192715850241956,0.00488156889379404,0.93,0,0.00721623227778249,0.985,0.857142857142857,0.891398514851485,1,NA,0.181781135919857,0.0194042363528313,0.00264347567705238,0.0255348501570592,0.0064680787842771,18045.9398081331,0,0.00956150776806181,0.0191131728075388,0.00226583629461633,0.162039434586977,0.0180459398081331,NA,662.704004253476,0,0.00135829654469819,267.312759996604,1090.98378470159,1
"50",54,55,NA,3,120,"KV053118D0WTS_T5","3_120_KV053118D0WTS_T5.fcs compensated","KV","5/31/2018","Spleen",NA,0,5,"5/31/2018","",0,"WT",1.277,0.002,0.95,29139,8475,8021,7700,7496,477,33,410,6422,307,4,941,60,298,0,79,399,305,4,916,297,0,398,77,0,0.125533617929562,0.0636339381003202,0.00440234791889007,0.0546958377801494,0.0105389541088581,0.970684039087948,0,0.0080042689434365,0.993485342019544,1,0.973432518597237,0.996644295302013,NA,0.119256937033084,0.0604522411953042,0.00418223052294557,0.0519610458911419,0.0100120064034152,58680.0256553767,0,0.00760405549626467,0.0600584155197647,0.00418223052294557,0.116088580576307,0.058483112817607,NA,2943.19877895306,0,0.00177221553992749,348.77201825773,1423.44352166976,1
"52",56,57,NA,5,124,"KV053118D0WTS_T6","5_124_KV053118D0WTS_T6.fcs compensated","KV","5/31/2018","Spleen",NA,0,6,"5/31/2018","",0,"WT",1.377,9e-04,0.665,61881,27257,26491,25658,24980,1426,73,350,22810,879,31,2746,735,866,21,613,341,876,31,2691,865,21,341,590,0,0.109927942353883,0.0570856685348279,0.00292233787029624,0.0140112089671737,0.0245396317053643,0.985210466439135,0.67741935483871,0.0294235388310649,0.996587030716723,1,0.979970866715222,0.998845265588915,1,0.0731020816653323,0.0379619695756605,0.001943354683747,0.00931745396317054,0.0163188550840673,37400.5297525848,0.00131646607608668,0.0195666533226581,0.0378324065395661,0.001943354683747,0.0716379103282626,0.0373573420738866,0.00131646607608668,2025.29944508582,0,0.000561439823075757,110.491357181309,450.948465894448,1
"54",58,59,NA,7,128,"KV060818D0WTS_T2","7_128_KV060818D0WTS_T2.fcs compensated","KV","6/8/2018","Spleen",NA,0,2,"6/8/2018","",0,"WT",1.442,0.003,0.33,22550,4858,4695,4607,4184,82,3,15,4012,50,1,500,146,39,0,32,14,48,1,456,39,0,13,30,0,0.119502868068834,0.0195984703632887,0.000717017208413002,0.00358508604206501,0.00764818355640535,0.78,0,0.0348948374760994,0.96,1,0.912,1,NA,0.0394359464627151,0.00646749521988528,0.000236615678776291,0.00118307839388145,0.00252390057361377,5044.64627151052,0,0.0115152963671128,0.00620879541108987,0.000236615678776291,0.0359655831739962,0.00504464627151052,NA,39.4112989961759,0,0.00142284894837476,280.016673040153,1142.83227533461,1
